游戏开始的时间,单次游戏使用的时间,猜测的单词,用户猜测的字符序列
2021-05-21 11:26:54.730273,26.57711秒,toeing,etoaring
2021-05-21 11:26:54.730273,48.762208秒,toeing,etoaringt
2021-05-21 11:26:54.730273,133.094017秒,toeing,etoaringtq
2021-05-21 11:26:54.730273,149.234571秒,toeing,etoaringtqq
2021-05-21 11:30:17.917609,20.392083秒,marring,etmariing
2021-05-21 11:31:56.454042,21.673903秒,sleighed,esldghi
2021-05-21 11:31:56.454042,62.168649秒,sleighed,esldghiqq
2021-05-21 11:33:02.255345,18.371617秒,purify,purify
2021-05-21 11:33:56.517807,8.230584秒,quipped,quiped
2021-05-21 11:37:20.840026,9.877449秒,jetting,jeting
2021-05-21 11:37:52.273453,15.740964秒,inasmuch,inasmushc
2021-05-21 11:44:44.518609,16.337571秒,postulant,postulan
2021-05-21 11:49:31.463810,14.789999秒,graceless,egslrac
2021-05-21 11:50:53.597797,11.682545秒,familiarly,familry
